의안번호,의안명(한글),제안일,소관위
2125615,대기관리권역의 대기환경개선에 관한 특별법 일부개정법률안,2023-11-24,
2125600,동남권순환 광역철도 건설 및 운영에 관한 특별법안,2023-11-24,
2125614,환경기술 및 환경산업 지원법 일부개정법률안,2023-11-24,
2125587,제약산업 육성 및 지원에 관한 특별법 일부개정법률안,2023-11-24,
2125588,환경영향평가법 일부개정법률안,2023-11-24,
2125589,의료법 일부개정법률안,2023-11-24,
2125590,전기사업법 일부개정법률안,2023-11-24,
2125591,에너지법 일부개정법률안,2023-11-24,
2125592,집단에너지사업법 일부개정법률안,2023-11-24,
2125593,도시가스사업법 일부개정법률안,2023-11-24,
2125594,정부조직법 일부개정법률안,2023-11-24,
2125595,노동조합 및 노동관계조정법 일부개정법률안,2023-11-24,
2125596,노인등 의료·요양·돌봄서비스 제공 및 이용에 관한 법률안,2023-11-24,
2125597,공동주택관리법 일부개정법률안,2023-11-24,
2125599,남부권 개발 특별법안,2023-11-24,
2125598,공직선거법 일부개정법률안,2023-11-24,
2125601,노인장기요양보험법 일부개정법률안,2023-11-24,
2125607,골재채취법 일부개정법률안,2023-11-24,
2125613,해양심층수의 개발 및 관리에 관한 법률 일부개정법률안,2023-11-24,
2125612,경비업법 일부개정법률안,2023-11-24,
2125611,공무원연금법 일부개정법률안,2023-11-24,
2125610,상법 일부개정법률안,2023-11-24,
2125608,중앙행정기관 청사의 수급 및 관리에 관한 법률안,2023-11-24,
2125609,국가를 당사자로 하는 계약에 관한 법률 일부개정법률안,2023-11-24,
2125606,지방자치단체출연 연구원의 설립 및 운영에 관한 법률 일부개정법률안,2023-11-24,
2125605,원자력안전법 일부개정법률안,2023-11-24,
2125604,식품위생법 일부개정법률안,2023-11-24,
2125603,마약류 관리에 관한 법률 일부개정법률안,2023-11-24,
2125602,수입식품안전관리 특별법 일부개정법률안,2023-11-24,
2125580,방송통신발전 기본법 일부개정법률안,2023-11-23,과학기술정보방송통신위원회
2125574,지방세특례제한법 일부개정법률안,2023-11-23,행정안전위원회
2125576,조세특례제한법 일부개정법률안,2023-11-23,기획재정위원회
2125577,동물보호법 일부개정법률안,2023-11-23,농림축산식품해양수산위원회
2125578,노인장기요양보험법 일부개정법률안,2023-11-23,보건복지위원회
2125579,공직선거법 일부개정법률안,2023-11-23,행정안전위원회
2125575,과잉대출 및 불공정대출의 규제에 관한 법률안,2023-11-23,정무위원회
2125581,문화재보호법 일부개정법률안,2023-11-23,문화체육관광위원회
2125583,환경영향평가법 일부개정법률안,2023-11-23,환경노동위원회
2125584,도로법 일부개정법률안,2023-11-23,국토교통위원회
2125586,물가안정에 관한 법률 일부개정법률안,2023-11-23,기획재정위원회
2125585,국가재정법 일부개정법률안,2023-11-23,기획재정위원회
2125582,산업안전보건법 일부개정법률안,2023-11-23,환경노동위원회
2125566,정보통신기반 보호법 일부개정법률안,2023-11-22,과학기술정보방송통신위원회
2125559,방송법 일부개정법률안,2023-11-22,과학기술정보방송통신위원회
2125560,산업재해보상보험법 일부개정법률안,2023-11-22,환경노동위원회
2125561,영화 및 비디오물의 진흥에 관한 법률 일부개정법률안,2023-11-22,문화체육관광위원회
2125562,폐기물관리법 일부개정법률안,2023-11-22,환경노동위원회
2125563,소비자기본법 일부개정법률안,2023-11-22,정무위원회
2125564,국가공무원법 일부개정법률안,2023-11-22,행정안전위원회
2125565,물환경보전법 일부개정법률안,2023-11-22,환경노동위원회
2125567,학원의 설립·운영 및 과외교습에 관한 법률 일부개정법률안,2023-11-22,교육위원회
2125568,국회법 일부개정법률안,2023-11-22,국회운영위원회
2125569,근로기준법 일부개정법률안,2023-11-22,환경노동위원회
2125570,게임산업진흥에 관한 법률 일부개정법률안,2023-11-22,문화체육관광위원회
2125571,보건의료인력지원법  일부개정법률안,2023-11-22,보건복지위원회
2125572,간호법안,2023-11-22,보건복지위원회
2125573,변호사법 일부개정법률안,2023-11-22,법제사법위원회
2125549,가맹사업거래의 공정화에 관한 법률 일부개정법률안,2023-11-21,정무위원회
2125541,전기사업법 일부개정법률안,2023-11-21,산업통상자원중소벤처기업위원회
2125543,건설산업기본법 일부개정법률안,2023-11-21,국토교통위원회
2125544,개발제한구역의 지정 및 관리에 관한 특별조치법 일부개정법률안,2023-11-21,국토교통위원회
2125545,외국환거래법 일부개정법률안,2023-11-21,기획재정위원회
2125546,의료법 일부개정법률안,2023-11-21,보건복지위원회
2125547,국회법 일부개정법률안,2023-11-21,국회운영위원회
2125548,공유재산 및 물품 관리법 일부개정법률안,2023-11-21,행정안전위원회
2125557,근로복지기본법 일부개정법률안,2023-11-21,환경노동위원회
2125550,대리점거래의 공정화에 관한 법률 일부개정법률안,2023-11-21,정무위원회
2125551,장애인차별금지 및 권리구제 등에 관한 법률 일부개정법률안,2023-11-21,보건복지위원회
2125552,지능정보화 기본법 일부개정법률안,2023-11-21,과학기술정보방송통신위원회
2125553,전세사기피해자 지원 및 주거안정에 관한 특별법 일부개정법률안,2023-11-21,국토교통위원회
2125554,전세사기피해자 지원 및 주거안정에 관한 특별법 일부개정법률안,2023-11-21,국토교통위원회
2125555,공공재정 부정청구 금지 및 부정이익 환수 등에 관한 법률 일부개정법률안,2023-11-21,정무위원회
2125556,아이돌봄 지원법 일부개정법률안,2023-11-21,여성가족위원회
2125558,첨단재생의료 및 첨단바이오의약품 안전 및 지원에 관한 법률  일부개정법률안,2023-11-21,보건복지위원회
2125533,공인노무사법 일부개정법률안,2023-11-20,환경노동위원회
2125526,방송법 일부개정법률안,2023-11-20,과학기술정보방송통신위원회
2125527,중소기업은행법 일부개정법률안,2023-11-20,정무위원회
2125529,노인장기요양보험법 일부개정법률안,2023-11-20,보건복지위원회
2125530,병역법 일부개정법률안,2023-11-20,국방위원회
2125531,조세특례제한법 일부개정법률안,2023-11-20,기획재정위원회
2125532,대중교통의 육성 및 이용촉진에 관한 법률 일부개정법률안,2023-11-20,국토교통위원회
2125528,제주특별자치도 설치 및 국제자유도시 조성을 위한 특별법 일부개정법률안,2023-11-20,행정안전위원회
2125534,보훈보상대상자 지원에 관한 법률 일부개정법률안,2023-11-20,정무위원회
2125536,참전유공자 예우 및 단체설립에 관한 법률 일부개정법률안,2023-11-20,정무위원회
2125537,전기통신사업법 일부개정법률안,2023-11-20,과학기술정보방송통신위원회
2125540,방송법 일부개정법률안,2023-11-20,과학기술정보방송통신위원회
2125538,인터넷 멀티미디어 방송사업법 일부개정법률안,2023-11-20,과학기술정보방송통신위원회
2125539,탄소중립을 위한 전력 계통 확보 특별법안,2023-11-20,산업통상자원중소벤처기업위원회
2125535,고용정책 기본법 일부개정법률안,2023-11-20,환경노동위원회
2125503,항로표지법 일부개정법률안,2023-11-17,농림축산식품해양수산위원회
2125511,문화산업진흥 기본법 일부개정법률안,2023-11-17,문화체육관광위원회
2125507,한국토지주택공사법 일부개정법률안,2023-11-17,국토교통위원회
2125506,산업기술혁신 촉진법 일부개정법률안,2023-11-17,산업통상자원중소벤처기업위원회
2125504,공직선거법 일부개정법률안,2023-11-17,정치개혁특별위원회
2125500,자율방범대 설치 및 운영에 관한 법률 일부개정법률안,2023-11-17,행정안전위원회
2125502,국립소방병원의 설립 및 운영에 관한 법률 일부개정법률안,2023-11-17,행정안전위원회
2125501,공익법인의 설립·운영에 관한 법률 일부개정법률안,2023-11-17,법제사법위원회
2125513,형사소송법 일부개정법률안,2023-11-17,법제사법위원회
2125499,초·중등교육법 일부개정법률안,2023-11-17,교육위원회
2125512,인쇄문화산업 진흥법 일부개정법률안,2023-11-17,문화체육관광위원회
2125505,교원의 지위 향상 및 교육활동 보호를 위한 특별법 일부개정법률안,2023-11-17,교육위원회
2125514,형사보상 및 명예회복에 관한 법률 일부개정법률안,2023-11-17,법제사법위원회
2125520,국세징수법 일부개정법률안,2023-11-17,기획재정위원회
2125515,출판문화산업 진흥법 일부개정법률안,2023-11-17,문화체육관광위원회
2125525,소득세법 일부개정법률안,2023-11-17,기획재정위원회
2125524,비영리민간단체 지원법 일부개정법률안,2023-11-17,행정안전위원회
2125523,보조금 관리에 관한 법률 일부개정법률안,2023-11-17,기획재정위원회
2125521,위생용품 관리법 일부개정법률안,2023-11-17,보건복지위원회
2125522,지방자치단체 보조금 관리에 관한 법률 일부개정법률안,2023-11-17,행정안전위원회
2125519,국세기본법 일부개정법률안,2023-11-17,기획재정위원회
2125518,청소년복지 지원법 일부개정법률안,2023-11-17,여성가족위원회
2125517,새마을금고법 일부개정법률안,2023-11-17,행정안전위원회
2125516,자연재해대책법 일부개정법률안,2023-11-17,행정안전위원회
2125473,전자어음의 발행 및 유통에 관한 법률 일부개정법률안,2023-11-16,법제사법위원회
2125479,한국국제교류재단법 일부개정법률안,2023-11-16,외교통일위원회
2125478,공연법 일부개정법률안,2023-11-16,문화체육관광위원회
2125477,한ㆍ아프리카재단법 일부개정법률안,2023-11-16,외교통일위원회
2125476,하도급거래 공정화에 관한 법률 일부개정법률안,2023-11-16,정무위원회
2125475,수산업법 일부개정법률안,2023-11-16,농림축산식품해양수산위원회
2125474,문화재수리 등에 관한 법률 일부개정법률안,2023-11-16,문화체육관광위원회
2125467,조세특례제한법 일부개정법률안,2023-11-16,기획재정위원회
2125472,온라인 플랫폼 독점규제에 관한 법률안,2023-11-16,정무위원회
2125471,아이돌봄 지원법 일부개정법률안,2023-11-16,여성가족위원회
2125470,매장문화재 보호 및 조사에 관한 법률 일부개정법률안,2023-11-16,문화체육관광위원회
2125469,형사소송법 일부개정법률안,2023-11-16,법제사법위원회
2125468,문화재보호법 일부개정법률안,2023-11-16,문화체육관광위원회
2125466,국가유공자 등 예우 및 지원에 관한 법률 일부개정법률안,2023-11-16,정무위원회
2125465,독립유공자예우에 관한 법률 일부개정법률안,2023-11-16,정무위원회
2125481,노후준비 지원법 일부개정법률안,2023-11-16,보건복지위원회
2125480,제주4·3사건 진상규명 및 희생자 명예회복에 관한 특별법 일부개정법률안,2023-11-16,행정안전위원회
2125484,고향사랑 기부금에 관한 법률 일부개정법률안,2023-11-16,행정안전위원회
2125482,국가교육위원회 설치 및 운영에 관한 법률 일부개정법률안,2023-11-16,교육위원회
2125492,성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안,2023-11-16,여성가족위원회
2125483,전기통신사업법 일부개정법률안,2023-11-16,과학기술정보방송통신위원회
2125498,건설기술 진흥법 일부개정법률안,2023-11-16,국토교통위원회
2125496,지방세특례제한법 일부개정법률안,2023-11-16,행정안전위원회
2125495,조세특례제한법 일부개정법률안,2023-11-16,기획재정위원회
2125494,이산화탄소 포집·저장 및 활용에 관한 법률안,2023-11-16,산업통상자원중소벤처기업위원회
2125493,경기도와 서울특별시 간 관할구역 변경에 관한 특별법안,2023-11-16,행정안전위원회
2125497,시설물의 안전 및 유지관리에 관한 특별법 일부개정법률안,2023-11-16,국토교통위원회
2125491,영화 및 비디오물의 진흥에 관한 법률 일부개정법률안,2023-11-16,문화체육관광위원회
2125489,국민 평생 직업능력 개발법 일부개정법률안,2023-11-16,환경노동위원회
2125488,상업등기법 일부개정법률안,2023-11-16,법제사법위원회
2125487,법인의 등기사항에 관한 특례법 일부개정법률안,2023-11-16,법제사법위원회
2125486,지방공무원법 일부개정법률안,2023-11-16,행정안전위원회
2125490,민법 일부개정법률안,2023-11-16,법제사법위원회
2125485,상법 일부개정법률안,2023-11-16,법제사법위원회
2125431,5·18민주유공자예우 및 단체설립에 관한 법률 일부개정법률안,2023-11-15,정무위원회
2125427,식품·의약품분야 시험·검사 등에 관한 법률 일부개정법률안,2023-11-15,보건복지위원회
2125428,인체조직안전 및 관리 등에 관한 법률 일부개정법률안,2023-11-15,보건복지위원회
2125429,약사법 일부개정법률안,2023-11-15,보건복지위원회
2125430,의료기기법 일부개정법률안,2023-11-15,보건복지위원회
2125434,참전유공자 예우 및 단체설립에 관한 법률 일부개정법률안,2023-11-15,정무위원회
2125432,남북 이산가족 생사확인 및 교류 촉진에 관한 법률 일부개정법률안,2023-11-15,외교통일위원회
2125433,항공사업법 일부개정법률안,2023-11-15,국토교통위원회
2125435,도로교통법 일부개정법률안,2023-11-15,행정안전위원회
2125436,화장품법 일부개정법률안,2023-11-15,보건복지위원회
2125425,식품위생법 일부개정법률안,2023-11-15,보건복지위원회
2125426,위생용품 관리법 일부개정법률안,2023-11-15,보건복지위원회
2125417,공직선거법 일부개정법률안,2023-11-15,행정안전위원회
2125424,식품 등의 표시ㆍ광고에 관한 법률 일부개정법률안,2023-11-15,보건복지위원회
2125423,국고금 관리법 일부개정법률안,2023-11-15,기획재정위원회
2125422,사회서비스 이용 및 이용권 관리에 관한 법률 일부개정법률안,2023-11-15,보건복지위원회
2125421,모자보건법 일부개정법률안,2023-11-15,보건복지위원회
2125420,결혼중개업의 관리에 관한 법률 일부개정법률안,2023-11-15,여성가족위원회
2125419,형법 일부개정법률안,2023-11-15,법제사법위원회
2125418,공중위생관리법 일부개정법률안,2023-11-15,보건복지위원회
2125416,노인장기요양보험법 일부개정법률안,2023-11-15,보건복지위원회
2125415,국가재정법 일부개정법률안,2023-11-15,기획재정위원회
2125414,건강기능식품에 관한 법률 일부개정법률안,2023-11-15,보건복지위원회
2125438,정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안,2023-11-15,과학기술정보방송통신위원회
2125437,직업안정법 일부개정법률안,2023-11-15,환경노동위원회
2125441,지방교육자치에 관한 법률 일부개정법률안,2023-11-15,교육위원회
2125439,지방자치단체를 당사자로 하는 계약에 관한 법률 일부개정법률안,2023-11-15,행정안전위원회
2125452,건설산업기본법 일부개정법률안,2023-11-15,국토교통위원회
2125440,성매매알선 등 행위의 처벌에 관한 법률 일부개정법률안,2023-11-15,법제사법위원회
2125463,여신전문금융업법 일부개정법률안,2023-11-15,정무위원회
2125462,특수임무유공자 예우 및 단체설립에 관한 법률 일부개정법률안,2023-11-15,정무위원회
2125461,자치입법권 강화 및 지방자율성 제고를 위한 농어촌정비법 등 10개 법률의 일부개정에 관한 법률안,2023-11-15,농림축산식품해양수산위원회
2125459,독립유공자예우에 관한 법률 일부개정법률안,2023-11-15,정무위원회
2125458,아동·청소년의 성보호에 관한 법률 일부개정법률안,2023-11-15,여성가족위원회
2125457,보훈보상대상자 지원에 관한 법률 일부개정법률안,2023-11-15,정무위원회
2125456,변호사법 일부개정법률안,2023-11-15,법제사법위원회
2125455,건설근로자의 고용개선 등에 관한 법률 일부개정법률안,2023-11-15,환경노동위원회
2125454,합성생물학 육성법안,2023-11-15,과학기술정보방송통신위원회
2125453,아동복지법 일부개정법률안,2023-11-15,보건복지위원회
2125460,교통약자의 이동편의 증진법 일부개정법률안,2023-11-15,국토교통위원회
2125451,장애인복지법 일부개정법률안,2023-11-15,보건복지위원회
2125445,청소년 보호법 일부개정법률안,2023-11-15,여성가족위원회
2125450,상표법 일부개정법률안,2023-11-15,산업통상자원중소벤처기업위원회
2125464,조세특례제한법 일부개정법률안,2023-11-15,기획재정위원회
2125442,첨단재생의료 및 첨단바이오의약품 안전 및 지원에 관한 법률  일부개정법률안,2023-11-15,보건복지위원회
2125444,전철 1호선 등 도심 지상철도 지하화를 위한 특별법안,2023-11-15,국토교통위원회
2125443,위성운영 및 위성정보활용 촉진법안,2023-11-15,과학기술정보방송통신위원회
2125446,국가를 당사자로 하는 계약에 관한 법률 일부개정법률안,2023-11-15,기획재정위원회
2125447,한경국립대학교 의과대학 설치에 관한 특별법안,2023-11-15,교육위원회
2125448,국가유공자 등 예우 및 지원에 관한 법률 일부개정법률안,2023-11-15,정무위원회
2125449,상표법 일부개정법률안,2023-11-15,산업통상자원중소벤처기업위원회
2125391,군인사법 일부개정법률안,2023-11-14,국방위원회
2125384,스마트농업 육성 및 지원에 관한 법률 일부개정법률안,2023-11-14,농림축산식품해양수산위원회
2125390,전파법 일부개정법률안,2023-11-14,과학기술정보방송통신위원회
2125389,성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안,2023-11-14,법제사법위원회
2125388,항공보안법 일부개정법률안,2023-11-14,국토교통위원회
2125387,아동·청소년의 성보호에 관한 법률 일부개정법률안,2023-11-14,여성가족위원회
2125386,소상공인 보호 및 지원에 관한 법률 일부개정법률안,2023-11-14,산업통상자원중소벤처기업위원회
2125385,식물방역법 일부개정법률안,2023-11-14,농림축산식품해양수산위원회
2125378,드론 활용의 촉진 및 기반조성에 관한 법률 일부개정법률안,2023-11-14,국토교통위원회
2125383,청년기본법 일부개정법률안,2023-11-14,정무위원회
2125382,부가가치세법 일부개정법률안,2023-11-14,기획재정위원회
2125381,산업집적활성화 및 공장설립에 관한 법률 일부개정법률안,2023-11-14,산업통상자원중소벤처기업위원회
2125380,택시운송사업의 발전에 관한 법률 일부개정법률안,2023-11-14,국토교통위원회
2125379,지능형 로봇 개발 및 보급 촉진법 일부개정법률안,2023-11-14,산업통상자원중소벤처기업위원회
2125377,재난 및 안전관리 기본법 일부개정법률안,2023-11-14,행정안전위원회
2125376,철도지하화 및 철도부지 통합개발에 관한 특별법안,2023-11-14,국토교통위원회
2125393,옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 법률 일부개정법률안,2023-11-14,행정안전위원회
2125392,전자장치 부착 등에 관한 법률 일부개정법률안,2023-11-14,법제사법위원회
2125398,시설물의 안전 및 유지관리에 관한 특별법 일부개정법률안,2023-11-14,국토교통위원회
2125394,행정절차법 일부개정법률안,2023-11-14,행정안전위원회
2125404,장애인 등에 대한 특수교육법 일부개정법률안,2023-11-14,교육위원회
2125413,자치입법권 강화 및 지방자율성 제고를 위한 공연법 등 10개 법률의 일부개정에 관한 법률안,2023-11-14,문화체육관광위원회
2125395,양곡관리법 일부개정법률안,2023-11-14,농림축산식품해양수산위원회
2125411,전통시장 및 상점가 육성을 위한 특별법 일부개정법률안,2023-11-14,산업통상자원중소벤처기업위원회
2125409,과학관의 설립·운영 및 육성에 관한 법률 일부개정법률안,2023-11-14,과학기술정보방송통신위원회
2125408,체육시설의 설치·이용에 관한 법률 일부개정법률안,2023-11-14,문화체육관광위원회
2125407,정보통신공사업법 일부개정법률안,2023-11-14,과학기술정보방송통신위원회
2125406,경찰공무원법 일부개정법률안,2023-11-14,행정안전위원회
2125405,양곡관리법 일부개정법률안,2023-11-14,농림축산식품해양수산위원회
2125412,중소기업기본법 일부개정법률안,2023-11-14,산업통상자원중소벤처기업위원회
2125403,학교용지 확보 등에 관한 특례법 일부개정법률안,2023-11-14,교육위원회
2125401,도로교통법 일부개정법률안,2023-11-14,행정안전위원회
2125400,병역법 일부개정법률안,2023-11-14,국방위원회
2125399,교통약자의 이동편의 증진법 일부개정법률안,2023-11-14,국토교통위원회
2125397,부담금관리 기본법 일부개정법률안,2023-11-14,기획재정위원회
2125396,금융소비자 보호에 관한 법률 일부개정법률안,2023-11-14,정무위원회
2125402,축산법 일부개정법률안,2023-11-14,농림축산식품해양수산위원회
2125349,약사법 일부개정법률안,2023-11-13,보건복지위원회
2125356,자치입법권 강화 및 지방자율성 제고를 위한 도시교통정비 촉진법 등 3개 법률의 일부개정에 관한 법률안,2023-11-13,국토교통위원회
2125355,조세특례제한법 일부개정법률안,2023-11-13,기획재정위원회
2125354,국세기본법 일부개정법률안,2023-11-13,기획재정위원회
2125352,자전거 이용 활성화에 관한 법률 일부개정법률안,2023-11-13,행정안전위원회
2125351,보행안전 및 편의증진에 관한 법률 일부개정법률안,2023-11-13,행정안전위원회
2125350,민법 일부개정법률안,2023-11-13,법제사법위원회
2125346,청소년활동 진흥법 일부개정법률안,2023-11-13,여성가족위원회
2125348,문화산업진흥 기본법 일부개정법률안,2023-11-13,문화체육관광위원회
2125347,인천광역시 제물포구ㆍ영종구 및 검단구 설치 등에 관한 법률안,2023-11-13,행정안전위원회
2125345,교육환경 보호에 관한 법률 일부개정법률안,2023-11-13,교육위원회
2125344,옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 법률 일부개정법률안,2023-11-13,행정안전위원회
2125343,문화예술진흥법 일부개정법률안,2023-11-13,문화체육관광위원회
2125342,지방공무원법 일부개정법률안,2023-11-13,행정안전위원회
2125358,에너지이용 합리화법 일부개정법률안,2023-11-13,산업통상자원중소벤처기업위원회
2125357,자치입법권 강화 및 지방자율성 제고를 위한 낚시 관리 및 육성법 등 9개 법률의 일부개정에 관한 법률안,2023-11-13,농림축산식품해양수산위원회
2125353,채무자 회생 및 파산에 관한 법률 일부개정법률안,2023-11-13,법제사법위원회
2125359,범죄피해자 보호법 일부개정법률안,2023-11-13,법제사법위원회
2125368,서민의 금융생활 지원에 관한 법률 일부개정법률안,2023-11-13,정무위원회
2125360,자치입법권 강화 및 지방자율성 제고를 위한 건축물관리법 등 14개 법률의 일부개정에 관한 법률안,2023-11-13,국토교통위원회
2125375,첨단연구산업단지 조성 및 육성을 위한 특별법안,2023-11-13,산업통상자원중소벤처기업위원회
2125374,수원 군 공항 이전 및 경기남부통합국제공항 건설을 위한 특별법안,2023-11-13,국토교통위원회
2125373,국민기초생활 보장법 일부개정법률안,2023-11-13,보건복지위원회
2125372,자치입법권 강화 및 지방자율성 제고를 위한 결핵예방법 등 10개 법률의 일부개정에 관한 법률안,2023-11-13,보건복지위원회
2125371,자치입법권 강화 및 지방자율성 제고를 위한 가축분뇨의 관리 및 이용에 관한 법률 등 13개 법률의 일부개정에 관한 법률안,2023-11-13,환경노동위원회
2125369,재난 및 안전관리 기본법 일부개정법률안,2023-11-13,행정안전위원회
2125370,외국환거래법 일부개정법률안,2023-11-13,기획재정위원회
2125367,학교급식법 일부개정법률안,2023-11-13,교육위원회
2125366,조세특례제한법 일부개정법률안,2023-11-13,기획재정위원회
2125365,형법 일부개정법률안,2023-11-13,법제사법위원회
2125364,감사원법 일부개정법률안,2023-11-13,법제사법위원회
2125363,선원법 일부개정법률안,2023-11-13,농림축산식품해양수산위원회
2125362,전자장치 부착 등에 관한 법률 일부개정법률안,2023-11-13,법제사법위원회
2125361,유통산업발전법 일부개정법률안,2023-11-13,산업통상자원중소벤처기업위원회
2125335,관세법 일부개정법률안,2023-11-10,기획재정위원회
2125330,자본시장과 금융투자업에 관한 법률 일부개정법률안,2023-11-10,정무위원회
2125331,관광기본법 일부개정법률안,2023-11-10,문화체육관광위원회
2125332,대통령기록물 관리에 관한 법률 일부개정법률안,2023-11-10,행정안전위원회
2125333,공항소음 방지 및 소음대책지역 지원에 관한 법률 일부개정법률안,2023-11-10,국토교통위원회
2125334,조세특례제한법 일부개정법률안,2023-11-10,기획재정위원회
2125339,국민보호와 공공안전을 위한 테러방지법 일부개정법률안,2023-11-10,정보위원회
2125336,연구개발성과의 확산에 관한 법률안,2023-11-10,과학기술정보방송통신위원회
2125337,마약류 관리에 관한 법률 일부개정법률안,2023-11-10,보건복지위원회
2125338,교원의 지위 향상 및 교육활동 보호를 위한 특별법 일부개정법률안,2023-11-10,교육위원회
2125340,자동차 등 특정동산 저당법 일부개정법률안,2023-11-10,법제사법위원회
2125341,신에너지 및 재생에너지 개발·이용·보급 촉진법 일부개정법률안,2023-11-10,산업통상자원중소벤처기업위원회
2125320,장애인 등에 대한 특수교육법 일부개정법률안,2023-11-09,교육위원회
2125300,대중교통의 육성 및 이용촉진에 관한 법률 일부개정법률안,2023-11-09,국토교통위원회
2125301,한부모가족지원법 일부개정법률안,2023-11-09,여성가족위원회
2125302,지방세특례제한법 일부개정법률안,2023-11-09,행정안전위원회
2125306,골재채취법 일부개정법률안,2023-11-09,국토교통위원회
2125307,도로법 일부개정법률안,2023-11-09,국토교통위원회
2125317,공항소음 방지 및 소음대책지역 지원에 관한 법률 일부개정법률안,2023-11-09,국토교통위원회
2125318,기후위기 대응을 위한 탄소중립ㆍ녹색성장 기본법 일부개정법률안,2023-11-09,환경노동위원회
2125319,가상자산 이용자 보호 등에 관한 법률 일부개정법률안,2023-11-09,정무위원회
2125305,주택법 일부개정법률안,2023-11-09,국토교통위원회
2125321,조세특례제한법 일부개정법률안,2023-11-09,기획재정위원회
2125323,학교폭력예방 및 대책에 관한 법률 일부개정법률안,2023-11-09,교육위원회
2125324,기초학력 보장법 일부개정법률안,2023-11-09,교육위원회
2125325,교육공무원법 일부개정법률안,2023-11-09,교육위원회
2125326,초·중등교육법 일부개정법률안,2023-11-09,교육위원회
2125327,부가가치세법 일부개정법률안,2023-11-09,기획재정위원회
2125328,기업등의 지속가능경영 지원을 위한 환경·사회·거버넌스 기본법안,2023-11-09,기획재정위원회
2125329,관세법 일부개정법률안,2023-11-09,기획재정위원회
2125322,보험계리사법안,2023-11-09,정무위원회
2125296,교원의 지위 향상 및 교육활동 보호를 위한 특별법 일부개정법률안,2023-11-08,교육위원회
2125293,경영지도사 및 기술지도사에 관한 법률 일부개정법률안,2023-11-08,산업통상자원중소벤처기업위원회
2125294,주택도시기금법 일부개정법률안,2023-11-08,국토교통위원회
2125295,여객자동차 운수사업법 일부개정법률안,2023-11-08,국토교통위원회
2125297,소비자생활협동조합법 일부개정법률안,2023-11-08,정무위원회
2125298,지방세특례제한법 일부개정법률안,2023-11-08,행정안전위원회
2125299,전자상거래 등에서의 소비자보호에 관한 법률 일부개정법률안,2023-11-08,정무위원회
2125292,개인금융채권의 관리 및 개인금융채무자의 보호에 관한 법률안,2023-11-07,정무위원회
2125291,정부조직법 일부개정법률안,2023-11-07,행정안전위원회
2125290,범죄피해자 보호법 일부개정법률안,2023-11-07,법제사법위원회
2125289,방위사업법 일부개정법률안,2023-11-07,국방위원회
2125288,서민의 금융생활 지원에 관한 법률 일부개정법률안,2023-11-07,정무위원회
2125287,양육비 이행확보 및 지원에 관한 법률 일부개정법률안,2023-11-07,여성가족위원회
2125280,대기환경보전법 일부개정법률안,2023-11-06,환경노동위원회
2125276,지방자치법 일부개정법률안,2023-11-06,행정안전위원회
2125277,소하천정비법 일부개정법률안,2023-11-06,행정안전위원회
2125278,협동조합 기본법 일부개정법률안,2023-11-06,기획재정위원회
2125279,벤처기업육성에 관한 특별조치법 일부개정법률안,2023-11-06,산업통상자원중소벤처기업위원회
2125282,하천법 일부개정법률안,2023-11-06,환경노동위원회
2125281,해양생태계의 보전 및 관리에 관한 법률 일부개정법률안,2023-11-06,농림축산식품해양수산위원회
2125284,선박평형수(船舶平衡水) 관리법 일부개정법률안,2023-11-06,농림축산식품해양수산위원회
2125285,의료법 일부개정법률안,2023-11-06,보건복지위원회
2125283,정치자금법 일부개정법률안,2023-11-06,정치개혁특별위원회
2125267,국립대학법인 서울대학교 설립·운영에 관한 법률 일부개정법률안,2023-11-03,교육위원회
2125260,전세사기피해자 지원 및 주거안정에 관한 특별법 일부개정법률안,2023-11-03,국토교통위원회
2125261,협동조합 기본법 일부개정법률안,2023-11-03,기획재정위원회
2125262,아동복지법 일부개정법률안,2023-11-03,보건복지위원회
2125263,전기통신사업법 일부개정법률안,2023-11-03,과학기술정보방송통신위원회
2125264,평생교육법 일부개정법률안,2023-11-03,교육위원회
2125265,형법 일부개정법률안,2023-11-03,법제사법위원회
2125266,국립대학법인 인천대학교 설립·운영에 관한 법률 일부개정법률안,2023-11-03,교육위원회
2125268,형사소송법 일부개정법률안,2023-11-03,법제사법위원회
2125269,교육공무원법 일부개정법률안,2023-11-03,교육위원회
2125270,국민연금법 일부개정법률안,2023-11-03,보건복지위원회
2125271,건설산업기본법 일부개정법률안,2023-11-03,국토교통위원회
2125272,자율방범대 설치 및 운영에 관한 법률 일부개정법률안,2023-11-03,행정안전위원회
2125273,법인세법 일부개정법률안,2023-11-03,기획재정위원회
2125274,중소기업창업 지원법 일부개정법률안,2023-11-03,산업통상자원중소벤처기업위원회
2125275,장애인차별금지 및 권리구제 등에 관한 법률 일부개정법률안,2023-11-03,보건복지위원회
2125255,전세사기피해자 지원 및 주거안정에 관한 특별법 일부개정법률안,2023-11-02,국토교통위원회
